招聘单位,城市,位置,经度,维度,当前是否招聘,全职,保险情况,吃住情况,面试时间,试岗时间,岗位类型,性别,年龄要求,特殊要求,是否接受有犯罪记录,运力紧急情况,工作时间,相关经验,薪资,工作内容
悦兴站,深圳,深圳市龙华区悅兴路45号2栋一层102,114.032394,22.710291,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
共和站,深圳,深圳市龙华区龙华街道共和农贸批发市场1栋G15-G17摊位,114.039406,22.648062,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
共和站,深圳,深圳市龙华区龙华街道共和农贸批发市场1栋G15-G17摊位,114.039406,22.648062,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,25~35,不戴眼镜，不要暑假工,否,0,7：00-19:30/ 8：00-20:30/ 9：00-21:30（做5休2，或做六休一）,无需经验，有经验者优先,固定薪资3120-3620+职级补贴0-1500+绩效3345，综合薪资6000-8000元/月,养鱼，杀鱼，捞虾(处理水产品)
共和站,深圳,深圳市龙华区龙华街道共和农贸批发市场1栋G15-G17摊位,114.039406,22.648062,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
共和站,深圳,深圳市龙华区龙华街道共和农贸批发市场1栋G15-G17摊位,114.039406,22.648062,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
光辉站,深圳,光明区光明街道东周社区光明大街399号11栋一层,113.938488,22.765372,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
光辉站,深圳,光明区光明街道东周社区光明大街399号11栋一层,113.938488,22.765372,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
康茂站,深圳,深圳市光明区凤凰街道甲子塘社区第二工业区三巷一号F栋109（佳德福百货超市）,113.918999,22.730312,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
金荔站,深圳,深圳市宝安区福永街道兴围社区工业一路6号102,113.833038,22.639511,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
荔山站,深圳,深圳市南山区南山街道荔湾社区缘山路63号荔山工业区1栋1层101室,113.893661,22.488522,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
荔山站,深圳,深圳市南山区南山街道荔湾社区缘山路63号荔山工业区1栋1层101室,113.893661,22.488522,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
荔山站,深圳,深圳市南山区南山街道荔湾社区缘山路63号荔山工业区1栋1层101室,113.893661,22.488522,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,25~35,不戴眼镜，不要暑假工,否,0,7：00-19:30/ 8：00-20:30/ 9：00-21:30（做5休2，或做六休一）,无需经验，有经验者优先,固定薪资3120-3620+职级补贴0-1500+绩效3345，综合薪资6000-8000元/月,养鱼，杀鱼，捞虾(处理水产品)
荔山站,深圳,深圳市南山区南山街道荔湾社区缘山路63号荔山工业区1栋1层101室,113.893661,22.488522,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
荔山站,深圳,深圳市南山区南山街道荔湾社区缘山路63号荔山工业区1栋1层101室,113.893661,22.488522,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
航城站,深圳,深圳市宝安区衡福商店斜对面,113.857887,22.604118,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
航城站,深圳,深圳市宝安区衡福商店斜对面,113.857887,22.604118,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
旺业站,深圳,宝田四路宝树科技工业园4栋,113.86953,22.602339,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
旺业站,深圳,宝田四路宝树科技工业园4栋,113.86953,22.602339,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
同富站,深圳,深圳市宝安区洲石路与同富路交叉口西南120米多娜小象超市（同富站）,113.864723,22.656185,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,25~35,不戴眼镜，不要暑假工,否,0,7：00-19:30/ 8：00-20:30/ 9：00-21:30（做5休2，或做六休一）,无需经验，有经验者优先,固定薪资3120-3620+职级补贴0-1500+绩效3345，综合薪资6000-8000元/月,养鱼，杀鱼，捞虾(处理水产品)
同富站,深圳,深圳市宝安区洲石路与同富路交叉口西南120米多娜小象超市（同富站）,113.864723,22.656185,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
共乐站,深圳,深圳市宝安区西乡街道铁仔路52升业空间A栋1层,113.864082,22.586966,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
永丰站,深圳,广东省深圳市宝安区日富路46号101号,113.831241,22.678925,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
永丰站,深圳,广东省深圳市宝安区日富路46号101号,113.831241,22.678925,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
兴东站,深圳,深圳市宝安区新安街道兴东社区72区马边工业区10栋厂房1B,113.919083,22.58415,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
兴东站,深圳,深圳市宝安区新安街道兴东社区72区马边工业区10栋厂房1B,113.919083,22.58415,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,25~35,不戴眼镜，不要暑假工,否,0,7：00-19:30/ 8：00-20:30/ 9：00-21:30（做5休2，或做六休一）,无需经验，有经验者优先,固定薪资3120-3620+职级补贴0-1500+绩效3345，综合薪资6000-8000元/月,养鱼，杀鱼，捞虾(处理水产品)
兴东站,深圳,深圳市宝安区新安街道兴东社区72区马边工业区10栋厂房1B,113.919083,22.58415,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
华茂站,深圳,深圳市福田区梅林街道梅丰社区梅华路103号南鹏大厦二层201,114.056267,22.56422,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
华茂站,深圳,深圳市福田区梅林街道梅丰社区梅华路103号南鹏大厦二层201,114.056267,22.56422,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,25~35,不戴眼镜，不要暑假工,否,0,7：00-19:30/ 8：00-20:30/ 9：00-21:30（做5休2，或做六休一）,无需经验，有经验者优先,固定薪资3120-3620+职级补贴0-1500+绩效3345，综合薪资6000-8000元/月,养鱼，杀鱼，捞虾(处理水产品)
华茂站,深圳,深圳市福田区梅林街道梅丰社区梅华路103号南鹏大厦二层201,114.056267,22.56422,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
裕亨站,深圳,深圳市福田区福田街道金地名津广场福田口岸商业广场1楼,114.072739,22.515787,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
裕亨站,深圳,深圳市福田区福田街道金地名津广场福田口岸商业广场1楼,114.072739,22.515787,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
