招聘单位,城市,位置,经度,维度,当前是否招聘,全职,保险情况,吃住情况,面试时间,试岗时间,岗位类型,性别,年龄要求,特殊要求,是否接受有犯罪记录,运力紧急情况,工作时间,相关经验,薪资,工作内容
华赛站,深圳,深圳市龙岗区坂田街道吉华路新天下华赛工业厂区4号宿舍1层 ）,114.075211,22.644003,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
华赛站,深圳,深圳市龙岗区坂田街道吉华路新天下华赛工业厂区4号宿舍1层 ）,114.075211,22.644003,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,25~35,不戴眼镜，不要暑假工,否,0,7：00-19:30/ 8：00-20:30/ 9：00-21:30（做5休2，或做六休一）,无需经验，有经验者优先,固定薪资3120-3620+职级补贴0-1500+绩效3345，综合薪资6000-8000元/月,养鱼，杀鱼，捞虾(处理水产品)
华赛站,深圳,深圳市龙岗区坂田街道吉华路新天下华赛工业厂区4号宿舍1层 ）,114.075211,22.644003,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,19:00-7:00/20:00-8:00/21:00-9:00（月休4-8排班制）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+夜班补贴780+绩效500+计件提成，综合薪资6500-8500元/月,美团生鲜超市的搬运理货，整理货架，上架产品
云谷站,深圳,深圳市宝安区石岩街道宝石南路工业投资公司第三工业区6、7、8栋综合楼一层10,113.92926,22.671925,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
美澜站,深圳,深圳市龙华区怡力科技园A栋,114.053337,22.688789,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
美澜站,深圳,深圳市龙华区怡力科技园A栋,114.053337,22.688789,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
长圳站,深圳,深圳市光明区公明镇长圳路118号（振惠工业园）,113.908302,22.718418,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
长圳站,深圳,深圳市光明区公明镇长圳路118号（振惠工业园）,113.908302,22.718418,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,25~35,不戴眼镜，不要暑假工,否,0,7：00-19:30/ 8：00-20:30/ 9：00-21:30（做5休2，或做六休一）,无需经验，有经验者优先,固定薪资3120-3620+职级补贴0-1500+绩效3345，综合薪资6000-8000元/月,养鱼，杀鱼，捞虾(处理水产品)
沙浦站,深圳,深圳市宝安区松岗街道沙浦二路64号,113.82975,22.779806,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
沙浦站,深圳,深圳市宝安区松岗街道沙浦二路64号,113.82975,22.779806,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,25~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
沙浦站,深圳,深圳市宝安区松岗街道沙浦二路64号,113.82975,22.779806,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,25~35,不戴眼镜，不要暑假工,否,0,7：00-19:30/ 8：00-20:30/ 9：00-21:30（做5休2，或做六休一）,无需经验，有经验者优先,固定薪资3120-3620+职级补贴0-1500+绩效3345，综合薪资6000-8000元/月,养鱼，杀鱼，捞虾(处理水产品)
